company,pride_sponsor,hrc_pledge,contribution_amount,n_politicians,n_states,fortune_500
Nationwide,FALSE,FALSE,1250,3,2,TRUE
Visa,FALSE,FALSE,1000,1,1,TRUE
Trulieve,TRUE,FALSE,1000,1,1,FALSE
Southern Company,FALSE,FALSE,1000,1,1,TRUE
Mosaic,FALSE,FALSE,1000,2,1,TRUE
Lennar,FALSE,FALSE,1000,1,1,TRUE
Intel,FALSE,TRUE,1000,2,1,TRUE
Gilead,TRUE,FALSE,1000,1,1,TRUE
Frontier Communications,FALSE,FALSE,1000,1,1,TRUE
Cummins,FALSE,FALSE,1000,2,1,TRUE
3M,FALSE,FALSE,1000,1,1,TRUE
Republic Services,FALSE,FALSE,950,3,1,TRUE
Target,TRUE,TRUE,500,1,1,TRUE
Quest Diagnostics,FALSE,FALSE,500,1,1,TRUE
Outfront,TRUE,FALSE,500,1,1,FALSE
Honeywell International,FALSE,FALSE,500,1,1,TRUE
Amgen,FALSE,FALSE,500,1,1,TRUE
Tractor Supply,FALSE,FALSE,225.16,1,1,TRUE
