ppg
48
40
99
13
55
75
74
169
56.25
74.5
46.33333333
55.5
98
70
150
43
85
100
89
90
187.5
99
24.75
47.5
175
57
40
16.66666667
75
60
65
216.6666667
130
49.5
100
220
45
17
25
85
73
45
83
50
41.66666667
36.5
30
42
24.5
137.5
